$10,000 Gold?	L’or à 10.000 dollars l’once ?
The confederation I advocate would thus constitute an intermediate stage (lasting five or ten years), at the end of which Kosovo is likely to become fully independent.	La confédération que je propose constituerait donc une étape transitoire (sur cinq ou dix ans) avant que le Kosovo devienne, selon toute probabilité, entièrement indépendant.
Delaying a final solution in this way would provide time to verify Kosovo’s prospects of joining the EU and thus eventually sharing “sovereign authority” with other independent states, which could deflate Kosovars’ dangerously robust nationalistic demands.	Repousser ainsi une solution définitive donnerait du temps pour établir les perspectives d’adhésion du Kosovo à l’UE, qui partagerait enfin une « autorité souveraine » avec d’autres États indépendants, une situation qui permettrait de modérer quelque peu les revendications nationalistes dangereusement vigoureuses des Kosovars.
A Conspiracy So Immense	Les théories conspirationnistes et le journalisme citoyen
NEW YORK – Is this the Age of the Conspiracy Theory?	NEW-YORK –  Sommes-nous à l'ère de la théorie de la conspiration ?
Plenty of evidence suggests that we are in something of a golden age for citizen speculation, documentation, and inference that takes shape – usually on the Internet – and spreads virally around the globe.	Beaucoup d'éléments laissent à penser que nous vivons une sorte d'âge d'or de la rumeur, d'informations plus ou moins exactes et de spéculations parfois hâtives qui s'expriment le plus souvent sur internet et tel un virus, se répandent dans le monde entier.
In the process, conspiracy theories are pulled from the margins of public discourse, where they were generally consigned in the past, and sometimes into the very heart of politics.	Au cours du processus, les théories conspirationnistes sortent des marges du discours public où elles étaient généralement reléguées, et gagnent parfois le cœur même de la politique.
I learned this by accident.	J'ai appris cela par hasard.
Having written a book about the hijacking of executive power in the United States in the Bush years, I found myself, in researching new developments, stumbling upon conversations online that embrace narratives of behind-the-scenes manipulation.	Ayant écrit un livre sur le détournement du pouvoir exécutif aux USA au cours des années Bush, lors de mes recherches, j'ai découvert des discussions en ligne sur internet qui épousaient l'idée de manipulations secrètes.
There are some major themes.	Certains thèmes sont récurrents.
A frequent one in the US is that global elites are plotting – via the Bilderberg Group and the Council on Foreign Relations, among others – to establish a “One World Government” dominated by themselves rather than national governments.	L'un des plus fréquents aux USA est celui d'un complot de l'élite mondiale – via le groupe Bilderberg et le Conseil des relations extérieures – pour établir un &quot;gouvernement mondial&quot; qu'ils contrôleraient.
Sometimes, more folkloric details come into play, broadening the members of this cabal to include the Illuminati, the Freemasons, Rhodes Scholars, or, as always, the Jews.	Parfois la rumeur élargit les membres de cette cabale jusqu'à englober une hypothétique organisation secrète appelée Iluminati, les francs-maçons, la fondation Rhodes Scholars et comme toujours, les juifs.
The hallmarks of this narrative are familiar to anyone who has studied the transmission of certain story categories in times of crisis.	Ces thèmes sont familiers à quiconque a étudié les rumeurs en temps de crise.
In literary terms, this conspiracy theory closely resembles The Protocols of the Elders of Zion , featuring secretive global elite with great power and wicked aims.	En termes littéraires, cette théorie de la conspiration ressemble beaucoup au Protocole des sages de Sion qui décrit une société secrète mondiale formée par une élite disposant de pouvoirs considérables et animée des plus mauvaises intentions.
Historically, there tends to be the same set of themes: fearsome, uncontrolled transformative change led by educated, urbanized cosmopolitans.	On y retrouve le même thème : la transformation terrifiante et incontrôlée de la société, menée par une élite cosmopolite, urbanisée et éduquée.
Students of Weimar Germany know that sudden dislocations and shocks – rapid urbanization, disruption of traditional family and social ties, loosening of sexual restrictions, and economic collapse – primed many Germans to become receptive to simplistic theories that seemed to address their confusion and offer a larger meaning to their suffering.	Ceux qui étudient l'Allemagne de Weimar savent que des bouleversements soudains – une urbanisation rapide, la disparition des liens sociaux et familiaux traditionnels, le relâchement des interdits sexuels et une crise économique - ont rendu beaucoup d'Allemands réceptifs à des théories simplistes qui semblaient apporter une solution à leur détresse et donner un sens à leurs souffrances.
Similarly, the “9/11 Truth Movement” asserts that al-Qaeda’s attack on the Twin Towers was an “inside job.”	De la même manière, selon &quot;le mouvement pour la vérité sur le 11 septembre&quot;, la destruction des tours jumelles est une affaire intérieure américaine.
In the Muslim world, there is a widespread conspiracy theory that the Israelis were behind those attacks, and that all Jews who worked in the buildings stayed home that day.	Dans le monde musulman, une théorie conspirationniste est très répandue : Israël serait derrière ces événements et tous les juifs qui travaillaient dans les tours seraient restés à la maison ce jour là.
Usually, conspiracy theories surface where people are poorly educated and a rigorous independent press is lacking.	Les théories conspirationnistes apparaissent généralement lorsque les gens sont peu éduqués et qu'une presse indépendante de qualité fait défaut.
So why are such theories gaining adherents in the US and other affluent democracies nowadays?	Dans ces conditions, pourquoi ces théories rencontrent-elles aujourd'hui du succès aux USA et dans d'autres démocraties prospères ?
Today’s explosion of conspiracy theories has been stoked by the same conditions that drove their acceptance in the past: rapid social change and profound economic uncertainty.	Cela tient aux mêmes conditions que celles qui ont fait leur succès dans le passé : un changement social rapide accompagné d'une grande incertitude économique.
A clearly designated “enemy” with an unmistakable “plan” is psychologically more comforting than the chaotic evolution of social norms and the workings – or failures – of unfettered capitalism.	Un &quot;ennemi&quot; clairement désigné qui met en œuvre un &quot;plan&quot; est psychologiquement moins insécurisant que l'évolution chaotique des normes sociales et les échecs d'un capitalisme débridé.
And, while conspiracy theories are often patently irrational, the questions they address are often healthy, even if the answers are frequently unsourced or just plain wrong.	Et si les théories conspirationnistes sont souvent manifestement irrationnelles, les questions qu'elles soulèvent peuvent être sensées, même si les réponses reposent généralement sur des informations fantaisistes ou erronées.
In seeking answers, these citizens are reacting rationally to irrational realities.	En cherchant des réponses, les personnes qui épousent ces théories réagissent rationnellement à une réalité irrationnelle.
Many citizens believe, rightly, that their mass media are failing to investigate and document abuses.	Beaucoup de gens estiment, à juste titre, que les médias n'enquêtent pas comme ils le devraient.
Newspapers in most advanced countries are struggling or folding, and investigative reporting is often the first thing they cut.	Dans la plupart des pays avancés, les journaux sont dans une situation difficile et le journalisme d'investigation est souvent le premier à en supporter les conséquences.
Concentration of media ownership and control further fuels popular mistrust, setting the stage for citizen investigation to enter the vacuum.	La concentration de la propriété des médias et de leur contrôle renforce ce sentiment de défiance et incite des citoyens à combler eux-mêmes le vide.
Likewise, in an age when corporate lobbyists have a free hand in shaping – if not drafting – public policies, many people believe, again rightly, that their elected officials no longer represent them. Hence their impulse to believe in unseen forces.	De même, à une époque où grâce au lobbying les entreprises peuvent influer sur – si ce n'est décider – des mesures prises par le pouvoir politique, beaucoup de gens pensent, ici aussi à juste titre, que les hommes politiques qu'ils ont élus ne les représentent plus, d'où leur tendance à croire en des forces invisibles.
Finally, even rational people have become more receptive to certain conspiracy theories because, in the last eight years, we actually have seen some sophisticated conspiracies.	Enfin, mêmes les personnes les plus rationnelles sont devenues réceptives à certaines théories conspirationnistes parce que depuis huit ans nous avons été témoins de conspirations très sophistiquées.
The Bush administration conspired to lead Americans and others into an illegal war, using fabricated evidence to do so.	Le gouvernement Bush a conspiré pour engager l'Amérique et d'autres pays dans une guerre illégale en s'appuyant sur des mensonges.
Is it any wonder, then, that so many rational people are trying to make sense of a political reality that really has become unusually opaque?	Faut-il alors s'étonner de ce que tant de gens rationnels essayent de donner un sens à une réalité politique devenue très opaque ?
When even the 9/11 commissioners renounce their own conclusions (because they were based on evidence derived from torture), is it surprising that many want a second investigation?	Quand même les membres de la commission d'enquête sur le 11 septembre renoncent à leurs propres conclusions (parce que basées sur des témoignages obtenus sous la torture) il n'y a pas de quoi être surpris si toute une partie de l'opinion publique réclame une deuxième enquête.
Frequently enough, it is citizens digging at the margins of the discourse – pursuing such theories – who report on news that the mainstream media ignores.	Assez fréquemment, ce sont des citoyens qui creusant aux marges du discours répandent des informations que les médias en place ignorent.
For example, it took a “conspiracy theorist,” Alex Jones, to turn up documentation of microwave technologies to be used by police forces on US citizens. The New Yorker confirmed the story much later – without crediting the original source.	Ainsi, il a fallu l'intervention d'un théoricien conspirationniste, Alex Jones, pour révéler l'utilisation de micro-ondes par les forces de police à l'encontre des citoyens américains. Bien plus tard, le magazine The New Yorker a confirmé l'information, sans citer ses sources.
The mainstream media’s tendency to avoid checking out or reporting what is actually newsworthy in Internet conspiracy theories partly reflects class bias.	La tendance des médias établis à ne pas tenir compte ou à ne pas rapporter ce qu'il peut y avoir de fiable dans les théories conspirationnistes que l'on trouve sur internet traduit en partie un préjugé de classe.
Conspiracy theories are seen as vulgar and lowbrow.	Ils considèrent ces théories comme une espèce de vulgarité dépourvue d'intérêt.
So even good, critical questions or well-sourced data unearthed by citizen investigators tend to be regarded as radioactive to highly educated formal journalists.	Aussi, même les meilleurs des journalistes formés dans le sérail tendent à ignorer les questions même judicieuses ou les informations vérifiables venant de citoyens enquêteurs.
The real problem with this frantic conspiracy theorizing is that it leaves citizens emotionally agitated but without a solid ground of evidence upon which to base their worldview, and without constructive directions in which to turn their emotions.	Cette effervescence autour des théories conspirationnistes troublent les gens sans leur apporter des faits crédibles sur lesquels asseoir leur point de vue ou des débouchés constructifs pour leur indignation.
This is why so many threads of discussion turn from potentially interesting citizen speculation to hate speech and paranoia.	C'est pourquoi tant de discussions sur internet se transforment de spéculations potentiellement intéressantes en discours de haine et en paranoïa.
In a fevered environment, without good editorial validation or tools for sourcing, citizens can be preyed upon and whipped up by demagogues, as we saw in recent weeks at Sarah Palin’s rallies after Internet theories painted Barack Obama as a terrorist or in league with terrorists.	Dans un environnement électrisé, sans validation sérieuse par les médias et en l'absence de vérification des informations, les démagogues exploitent la situation. C'est ce que l'on a vu ces dernières semaines lors des meetings de Sarah Palin après qu'Obama ait été qualifié de terroriste ou accusé d'accointance avec les terroristes sur internet.
We need to change the flow of information in the Internet age.	A l'ère d'internet nous devons évoluer.
Citizens should be able more easily to leak information, pitch stories, and send leads to mainstream investigative reporters.	Les citoyens doivent pouvoir faire circuler plus facilement des informations ou des articles et informer les journalistes professionnels.
They should organize new online entities in which they pay a fee for direct investigative reporting, unmediated by corporate pressures.	Ils devraient établir des sites spécifiques sur internet auxquels ils verseraient une cotisation, de manière à pouvoir y publier des informations hors de toute pression des entreprises.
And citizen investigators should be trained in basic journalism: finding good data, confirming stories with two independent sources, using quotes responsibly, and eschewing anonymity – that is, standing by their own bylines, as conventional reporters do.	Ils doivent être formés aux techniques de base du journalisme : rechercher des informations fiables, les recouper, utiliser les citations à bon escient, ne pas rester dans l'anonymat - autrement dit assumer leur responsabilité, au même titre que les journalistes conventionnels.
This is how citizens can be taken – and take themselves – seriously as documenters and investigators of our common situation.	Les citoyens peuvent se considérer et être considérés comme de véritables enquêteurs quant à notre situation commune.
In a time of official lies, healthy investigative energy should shed light, not just generate heat.	A l'époque des mensonges d'Etat, des enquêtes sérieuses doivent servir à éclairer et non pas à susciter simplement de l'agitation.
A Constitutional Coup in Ukraine	Un coup d\u0027Etat constitutionnel en Ukraine
Changing constitutions is always a risky business.	Changer la constitution est toujours une entreprise hasardeuse.
But it is a downright dangerous one when undertaken to benefit one man alone.	Mais cette entreprise devient carrément dangereuse lorsqu'elle est faite pour le bénéfice d'un seul homme.
Indeed, when a president volunteers to reduce the powers of his own office, you can be certain that he is up to no good.	En effet, lorsqu'un président propose spontanément de réduire les pouvoirs de son propre bureau, vous pouvez être certain que rien de bon n'en sortira.
That is exactly what is going on in Ukraine, where President Leonid Kuchma proposes to junk our presidential system and replace it with a strange type of parliamentary system he has concocted.	Telle est la situation actuelle en Ukraine, où le président Leonid Kuchma propose de supprimer notre système présidentiel et de le remplacer par un type étrange de système parlementaire qu'il a concocté.
Kuchma has not suddenly converted to the view that parliamentary democracies are better than presidential ones.	Kuchma ne s'est pas brusquement converti à l'opinion selon laquelle les démocraties parlementaires sont meilleures que les démocraties présidentielles.
No, Kuchma wants to change Ukraine's constitution for no other reason than to maintain his grip on power.	Non, Kuchma souhaite changer la constitution de l'Ukraine tout simplement parce qu'il veut rester au pouvoir.
Today, Kuchma rules as an all-powerful president.	A l'heure actuelle, Kuchma gouverne en tant que président tout puissant.
But his term ends next year and he cannot run again.	Mais son mandat prendra fin l'année prochaine et il ne pourra pas le renouveler.
So, instead of retiring gracefully, as presidents from Bill Clinton to Boris Yeltsin routinely do, Kuchma wants to change the constitution in order to become an all-powerful prime minister who will never face a limit on the length of his term.	Ainsi, au lieu de prendre dignement sa retraite comme l'ont fait les présidents Bill Clinton et Boris Yeltsin, Kuchma souhaite amender la constitution afin de devenir un premier ministre tout puissant qui ne connaîtra jamais de limite sur la durée de son mandat.
Of course, constitutions are not meant to protect the status quo if the status quo is rotten.	Bien entendu, les constitutions ne sont pas destinées à protéger le statut quo si ce dernier est corrompu.
Constitutions can, and should, accommodate reform when necessary.	Les constitutions peuvent, et doivent, être réformées lorsque le besoin s'en fait sentir.
A powerful president, however, is not necessarily wrong for Ukraine. In our wrenching postcommunist transition, it is essential that a government can act decisively.	Toutefois, un président puissant n'entraînerait pas forcément des changements négatifs pour l'Ukraine.
To change a system that seems best suited to Ukraine's circumstances, you need a good reason.	Au cours de notre transition postcommuniste violente actuelle, il est essentiel que le gouvernement agisse sans hésitation.
The Ukraine president is authorized to appoint and sack the prime minister, dissolve parliament if he wishes, and rule by decree if he judges that the country's institutions are in danger.	Le président de l'Ukraine a le droit de nommer et de congédier le premier ministre, de dissoudre le parlement s'il le souhaite et de gouverner par décret s'il juge que les institutions du pays sont en danger.
He maintains day-to-day control over every aspect of government.	Il garde un contrôle quotidien sur chaque aspect du gouvernement.
Sopuissant a Caesar must be above reproach.	Un César sipuissant se doit d'être au-dessus de tout reproche.
Kuchma is not.	Ce n'est pas le cas de Kuchma.
On the contrary, what is rotten in Ukraine is not its constitution, but its president, who is mired in charges of corruption and orchestrating the murder of journalists, and who is shunned by other world leaders.	La corruption en Ukraine ne prend pas sa source dans sa constitution, mais dans son président qui s'empêtre dans des accusations de corruption et d'orchestration des meurtres de journalistes et qui est évité par les autres dirigeants mondiaux.
As president, Kuchma is grotesquely unpopular.	En tant que président, Kuchma est absurdement impopulaire.
Even Slobodan Milosevic had more support in Yugoslavia before his fall.	Même Slobodan Milosevic recevait davantage de soutien en Yougoslavie avant sa chute.
So Kuchma knows that he cannot rely on handpicking his successor, as Yeltsin did in Russia.	Kuchma sait qu'il ne peut pas compter sur son successeur, comme ce fut le cas pour Yeltsin en Russie.
Unable to assure himself of a tame presidential successor, Kuchma wants what he calls a "parliamentary republic" with a weak president and powerful prime minister.	Incapable de s'assurer un successeur présidentiel soumis, Kuchma souhaite établir ce qu'il appelle une « république parlementaire » avec un président faible et un premier ministre puissant.
But the parliament he has in mind is a mutant, one where the authoritarian rule of the criminal clans Kuchma controls will continue, unabated, behind the facade of parliamentary procedure.	Mais le parlement qu'il a imaginé est un mutant, au sein duquel le règne autoritaire des clans criminels contrôlés par Kuchma perdurera sans perdre de son pouvoir derrière la façade de la procédure parlementaire.
People too easily forget Ukraine, this big country on the border of the soon-to-be enlarged European Union.	Les gens oublient trop aisément l'Ukraine, ce grand pays en bordure de l'Union Européenne.
But any attempt to prolong Kuchma's rule will create such a political mess that it is not absurd to fear that Ukraine could follow Belarus and the Balkans of the early 1990's into outright dictatorship and chaos.	Mais toute tentative visant à prolonger le règne de Kuchma créerait un désordre politique tel qu'il n'est pas absurde de craindre que l'Ukraine plongerait, tout comme le Belarus et les Balkans au début des années 1990, dans la dictature et le chaos absolus.
Indeed, this scenario could worsen, because Russia is unlikely to sit around idly and watch Ukraine unravel.	En effet, ce scénario pourrait empirer car il est peu probable que la Russie reste passive et regarde l'Ukraine se désagréger.
Intervention of some type seems more likely in such circumstances.	Une intervention semble davantage possible dans de telles circonstances.
Only an imperial Russia, however, would dare reabsorb Ukraine.	Seule une Russie impériale oserait toutefois réabsorber l'Ukraine.
But an imperial Russia cannot be a democratic Russia. So Kuchma endangers freedom and human rights not only in Ukraine, but ultimately threatens Russia's democracy as well.	Kuchma met donc en péril non seulement la liberté et les droits de l'homme en Ukraine, mais il menace également en fin de compte la démocratie de la Russie.
Luckily, there has never been a better time for the West--particularly the EU--to nudge Ukraine back from the brink.	Heureusement, l'Occident, et particulièrement l'UE, se trouvent plus que jamais dans une position favorable pour repousser l'Ukraine loin du gouffre.
With EU expansion coming next spring, all Ukrainians fear that a new wall will cut their country off from the Union's easternmost border in Poland.	Avec l'expansion de l'UE au printemps prochain, tous les Ukrainiens craignent qu'un nouveau mur ne coupe leur pays de la frontière la plus à l'est de l'Union Européenne, qui se situe en Pologne.
Although the job of maintaining Ukraine's democracy is primarily one for Ukrainians, the EU can help if it takes practical steps to reassure Ukrainians that they won't be cut off from the rest of Europe.	Tandis que les Ukrainiens souhaitent massivement maintenir la démocratie en Ukraine, l'UE est à même de les aider si elle prend des mesures pratiques visant à assurer les Ukrainiens qu'ils ne seront pas coupés du reste de l'Europe.
A generous visa regime and the use of regional development funds in Ukraine that will benefit impoverished eastern Poland, are two possible inducements.	Un régime de visas généreux et l'utilisation de fonds de développement régionaux en Ukraine qui profiterait à la Pologne de l'est appauvrie constituent deux possibles incitations parmi tant d'autres.
But these should be made conditional on Kuchma leaving the country's constitution and democracy alone.	Mais ces incitations doivent dépendre de la non ingérence par Kuchma dans la constitution et la démocratie du pays.
The EU should not fret about interfering in Ukraine's domestic affairs.	L'UE ne doit pas craindre d'interférer dans les affaires intérieures de l'Ukraine.
After all, it hesitated little a few years ago to put a current member state, Austria, on notice that it was watching out for the welfare of that country's democracy.	Après tout, elle a légèrement hésité quelques années auparavant à inclure un état membre actuel, l'Autriche, parce qu'elle prenait garde au bien-être de la démocratie de ce pays.
The wayward Kuchma is far more deserving of Europe imposing safeguards to ensure his good behavior.	L'imprévisible Kuchma mérite davantage que l'Autriche que l'Europe lui impose des sauvegardes pour s'assurer de son comportement adéquat.
Similarly, the US should cast a wary eye at Kuchma's decision to send troops to Iraq.	De même, les Etats-Unis doivent se méfier de la décision prise par Kuchma concernant l'envoi de troupes en Irak.
It cannot be the case that America's fidelity to democracy in Ukraine can be so cynically purchased.	Il est impossible que la fidélité de l'Amérique à la démocratie en Ukraine puisse être achetée aussi cyniquement.
Within Ukraine, a government capable of truly governing should seek to adopt EU laws and norms in exactly the manner that the countries poised to join the Union have done, thus helping to clean up the murky system in which Kuchma's criminal cronies flourish.	Au sein de l'Ukraine, un gouvernement capable de gouverner véritablement doit chercher à adopter les lois et les normes européennes comme l'ont fait les pays qui cherchaient à rejoindre l'Union, permettant ainsi de nettoyer le système trouble dans lequel s'épanouissent les partisans criminels de Kuchma.
The constitution must be reformed, but not to shift power from one unaccountable leader to another.	La constitution doit être réformée, mais pas dans le but de transmettre le pouvoir d'un dirigeant non responsable à un autre.
What is needed are clear checks on arbitrary rule, and transparency in decision-making.	Il importe davantage de procéder à des contrôles clairs des règles arbitraires et d'instaurer la transparence dans la prise de décision.
No one should doubt that Kuchma intends to stay in power, no matter what.	Personne ne devrait douter que Kuchma ait l'intention de rester au pouvoir, peu importe les moyens utilisés.
Less certain is whether he will feel secure enough to hold a presidential election (or any other kind of election) if he cannot change the constitution in a way that guarantees his continued misrule.	Il est moins certain qu'il se sente suffisamment en sécurité pour procéder à des élections présidentielles (ou tout autre type d'élection) s'il ne parvient pas à changer la constitution pour pouvoir régner à perpétuité.
It is, after all, President Kuchma who is discredited, not Ukraine's constitutional arrangements.	Après tout, c'est bien le président Kuchma qui est discrédité, et non les dispositions constitutionnelles de l'Ukraine.
A Contagion of Bad Ideas	Les mauvaises idées sont contagieuses !
NEW YORK – The Great Recession of 2008 has morphed into the North Atlantic Recession: it is mainly Europe and the United States, not the major emerging markets, that have become mired in slow growth and high unemployment.	NEW-YORK –  La Grande récession de 2008 s'est métamorphosée en une récession de l'Atlantique Nord : ce sont l'Europe et les USA qui n'arrivent pas à redémarrer et sont embourbés dans le chômage, et non les principaux pays émergents.
And it is Europe and America that are marching, alone and together, to the denouement of a grand debacle.	Ce sont les USA et l'Europe qui s'avancent chacun de leur coté vers le dénouement d'une catastrophe.
A busted bubble led to a massive Keynesian stimulus that averted a much deeper recession, but that also fueled substantial budget deficits.	L'éclatement d'une bulle a conduit à un plan de relance keynésien de grande ampleur qui a permis d'éviter une récession bien plus sévère, mais qui a aussi creusé des déficits budgétaires conséquents.
The response – massive spending cuts – ensures that unacceptably high levels of unemployment (a vast waste of resources and an oversupply of suffering) will continue, possibly for years.	La réaction, des coupes drastiques dans les dépenses, a pour conséquence le maintien du chômage à un niveau inacceptable (un gaspillage de ressources et des souffrances humaines) durant peut-être des années.
The European Union has finally committed itself to helping its financially distressed members.	L'Union européenne s'est finalement décidée à secourir ses membres surendettés.
It had no choice: with financial turmoil threatening to spread from small countries like Greece and Ireland to large ones like Italy and Spain, the euro’s very survival was in growing jeopardy.	Elle n'avait pas le choix : la crise financière menaçant de faire tache d'huile depuis la Grèce et l'Irlande vers l'Italie et l'Espagne, c'est l'existence même de l'euro qui allait être en jeu.
Europe’s leaders recognized that distressed countries’ debts would become unmanageable unless their economies could grow, and that growth could not be achieved without assistance.	Les dirigeants européens ont compris que la dette des pays en difficulté allait devenir ingérable si leur économie ne pouvait croître et qu'il fallait donc les aider.
But, even as Europe’s leaders promised that help was on the way, they doubled down on the belief that non-crisis countries must cut spending.	Mais tout en promettant une aide, les dirigeants européens ont pris le risque de dire que les pays qui n'étaient pas touchés par la crise doivent eux aussi réduire leurs dépenses.
The resulting austerity will hinder Europe’s growth, and thus that of its most distressed economies: after all, nothing would help Greece more than robust growth in its trading partners.	Or l'austérité qui en résultera empêchera l'Europe de retrouver le chemin de la croissance. C'est particulièrement vrai pour les pays européens en difficulté, alors que rien ne bénéficierait davantage à la Grèce qu'un redémarrage économique de ses partenaires commerciaux.
And low growth will hurt tax revenues, undermining the proclaimed goal of fiscal consolidation.	Une faible croissance va limiter les revenus fiscaux, ce qui sapera l'objectif proclamé d'une consolidation budgétaire.
The discussions before the crisis illustrated how little had been done to repair economic fundamentals.	Les discussions qui ont eu lieu avant la crise montrent que presque rien n'a été fait pour redresser les fondamentaux économiques.
The European Central Bank’s vehement opposition to what is essential to all capitalist economies – the restructuring of failed or insolvent entities’ debt – is evidence of the continuing fragility of the Western banking system.	L'opposition véhémente de la Banque centrale européenne (BCE) à un élément essentiel de toutes les économies capitalistes - la restructuration de la dette des entités en faillite ou insolvables - illustre la fragilité prolongée du système bancaire occidental.
The ECB argued that taxpayers should pick up the entire tab for Greece’s bad sovereign debt, for fear that any private-sector involvement (PSI) would trigger a “credit event,” which would force large payouts on credit-default swaps (CDSs), possibly fueling further financial turmoil.	Pour la BCE, c'était aux contribuables de mettre la main à la poche pour la totalité de la dette souveraine de la Grèce, de crainte qu'une participation du secteur privé ne déclenche un "événement de crédit" qui aurait contraint à des payements importants sur les CDS (assurances contre le risque de défaillance d'un crédit) - ce qui aurait pu aggraver encore la crise financière.
But, if that is a real fear for the ECB – if it is not merely acting on behalf of private lenders – surely it should have demanded that the banks have more capital.	Mais si la BCE craignait réellement cela - si elle n'a pas agi pas ainsi simplement pour défendre les intérêts des créanciers privés - elle aurait dû exiger que les banques aient davantage de capitaux.
Likewise, the ECB should have barred banks from the risky CDS market, where they are held hostage to ratings agencies’ decisions about what constitutes a “credit event.”	De la même manière, elle aurait dû exclure les banques du marché à haut risque des CDS, car elles y sont à la merci des décisions des agences de notation quant à ce qui constitue un "événement de crédit".
Indeed, one positive achievement by European leaders at the recent Brussels summit was to begin the process of reining in both the ECB and the power of the American ratings agencies.	Néanmoins, lors de leur récent sommet à Bruxelles les dirigeants européens ont réussi à commencer à brider le pouvoir de la BCE et celui des agences de notation américaines.
Indeed, the most curious aspect of the ECB’s position was its threat not to accept restructured government bonds as collateral if the ratings agencies decided that the restructuring should be classified as a credit event.	Curieusement la BCE menaçait de ne pas accepter des bons du Trésor restructurés à titre de collatéraux au cas où les agences de notation décideraient que la restructuration constitue un "événement de crédit".
The whole point of restructuring was to discharge debt and make the remainder more manageable.	L'objectif de la restructuration était de diminuer la dette de manière à ce qu'elle devienne gérable.
If the bonds were acceptable as collateral before the restructuring, surely they were safer after the restructuring, and thus equally acceptable.	Or si les bons du Trésor étaient acceptables à titre de collatéraux avant la restructuration, ils étaient plus sûrs après la restructuration et de ce fait tout aussi acceptables.
This episode serves as a reminder that central banks are political institutions, with a political agenda, and that independent central banks tend to be captured (at least “cognitively”) by the banks that they are supposed to regulate.	Cela montre que les banques centrales sont des institutions politiques, avec des objectifs politiques et que les banques centrales indépendantes tendent à devenir le jouet (au moins au sens cognitif) des banques qu'elles sont supposées réglementer.
And matters are little better on the other side of the Atlantic.	La situation n'est guère meilleure de l'autre coté de l'Atlantique.
There, the extreme right threatened to shut down the US government, confirming what game theory suggests: when those who are irrationally committed to destruction if they don’t get their way confront rational individuals, the former prevail.	L'extrême-droite y a menacé de bloquer le gouvernement, confirmant ce que suggère la théorie des jeux - à savoir que lorsque les partisans irrationnels de la destruction font face à des individus rationnels, ces derniers ont le dessous.
As a result, President Barack Obama acquiesced in an unbalanced debt-reduction strategy, with no tax increases – not even for the millionaires who have done so well during the past two decades, and not even by eliminating tax giveaways to oil companies, which undermine economic efficiency and contribute to environmental degradation.	Ainsi le président Obama a accepté une stratégie déséquilibrée de réduction de la dette, sans augmentation d'impôts, pas même pour les millionnaires qui se sont encore enrichis depuis 20 ans et sans même revenir sur les exonérations fiscales au profit des compagnies pétrolières. Cela va à l'encontre de l'efficacité économique et contribue à la dégradation de l'environnement.
Optimists argue that the short run macroeconomic impact of the deal to raise America’s debt ceiling and prevent sovereign default will be limited – roughly $25 billion in expenditure cuts in the coming year.	Si l'on est optimiste, on peut espérer que l'impact économique de l'accord qui a permis de relever le plafond de la dette américaine et d'éviter un défaut souverain sera limité, une réduction des dépenses de quelques 25 milliards de dollars pour l'année prochaine.
But the payroll-tax cut (which put more than $100 billion into the pockets of ordinary Americans) was not renewed, and surely business, anticipating the contractionary effects down the line, will be even more reluctant to lend.	Mais la réduction des charges sociales (qui a rapporté plus de 100 milliards de dollars aux salariés américains) n'a pas été reconduite et très probablement le secteur des affaires, anticipant une contraction économique, va être encore plus réticent à prêter.
The end of the stimulus itself is contractionary.	La fin des plans de relance a elle-même pour conséquence une contraction économique.
And, with housing prices continuing to fall, GDP growth faltering, and unemployment remaining stubbornly high (one of six Americans who would like a full-time job still cannot get one), more stimulus, not austerity, is needed – for the sake of balancing the budget as well.	Et avec le prix de l'immobilier qui continue à chuter, la croissance du PIB qui est vacillante et un taux de chômage qui reste désespérément élevé (un Américain sur six qui voudrait un emploi à temps plein n'en a pas), ce n'est pas l'austérité mais davantage de relance qui serait souhaitable - et cela irait aussi dans le sens d'un redressement budgétaire.
The single most important driver of deficit growth is weak tax revenues, owing to poor economic performance; the single best remedy would be to put America back to work.	Le déficit de croissance est dû essentiellement à une fiscalité insuffisante liée à la mauvaise situation économique ; la meilleure solution serait de remettre l'Amérique au travail.
The recent debt deal is a move in the wrong direction.	Or le récent accord sur la dette va dans la mauvaise direction.
There has been much concern about financial contagion between Europe and America.	On s'inquiète beaucoup du risque de contagion financière entre l'Europe et l'Amérique.
After all, America’s financial mismanagement played an important role in triggering Europe’s problems, and financial turmoil in Europe would not be good for the US – especially given the fragility of the US banking system and the continuing role it plays in non-transparent CDSs.	La mauvaise gestion financière américaine a joué un rôle important dans le déclenchement des problèmes européens. Quant à la crise financière en Europe, elle n'est pas de bon augure pour les USA, surtout compte tenu de la fragilité de leur système bancaire et du rôle que continuent à jouer les CDS au fonctionnement opaque.
But the real problem stems from another form of contagion: bad ideas move easily across borders, and misguided economic notions on both sides of the Atlantic have been reinforcing each other.	Mais le vrai problème tient à une autre forme de contagion : les mauvaises idées franchissent facilement les frontières et les océans, et les notions économiques erronées se renforcent les unes les autres de part et d'autre de l'Atlantique.
The same will be true of the stagnation that those policies bring.	Il en est de même des risques de stagnation liés aux mesures adoptées sur ses deux rives.
A Cool Calculus of Global Warming	Le froid calcul du réchauffement de la planète
