Go.	Va !
I hard-boiled an egg.	J'ai cuit un œuf dur.
I hate cops like him.	Je déteste les flics tels que lui.
I hate hospital food.	Je déteste la nourriture des hôpitaux.
I hate hospital food.	Je déteste la nourriture d'hôpital.
I hate jealous women.	Je déteste les femmes jalouses.
I hate long goodbyes.	Je déteste les longs au revoir.
I hate silent movies.	Je déteste les films muets.
I hated you at first.	Je vous détestais, au début.
I hated you at first.	Je te détestais, au début.
I have a bad sunburn.	J'ai un mauvais coup de soleil.
I have a better idea.	J'ai une meilleure idée.
I have a big problem.	J'ai un gros problème.
I have a brain tumor.	J'ai une tumeur cérébrale.
I have a debt to pay.	J'ai une dette à payer.
I have a few dollars.	J'ai quelques dollars.
I have a few friends.	J'ai quelques amis.
I have a good salary.	J'ai un bon salaire.
I have a job for you.	J'ai un travail pour toi.
I have a job for you.	J'ai un boulot pour vous.
I have a job for you.	J'ai un boulot pour toi.
I have a job for you.	J'ai un travail pour vous.
I have a lot of time.	J'ai beaucoup de temps.
I have a new bicycle.	J'ai un nouveau vélo.
I have a new red car.	J'ai une nouvelle voiture rouge.
I have a reservation.	J'ai une réserve.
I have a sharp knife.	J'ai un couteau aiguisé.
I have a slight cold.	J'ai un léger rhume.
I have a small fever.	J'ai un petit peu de fièvre.
I have a stomachache.	J'ai mal au ventre.
I have a stomachache.	J'ai mal à l'estomac.
I have a sweet tooth.	Je suis bec sucré.
I have a sweet tooth.	J'ai un penchant pour les sucreries.
I have a twin sister.	J'ai une sœur jumelle.
I have a wooden comb.	J'ai un peigne en bois.
I have an invitation.	J'ai une invitation.
I have back problems.	J'ai des problèmes de dos.
I have bleeding gums.	Mes gencives saignent.
I have bottled water.	J'ai de l'eau en bouteille.
I have caught a cold.	J'ai attrapé un rhume.
I have caught a cold.	J'ai attrapé froid.
I have gained weight.	J'ai pris du poids.
I have good eyesight.	J'ai une bonne vue.
I have got to go now.	Il faut que j'y aille maintenant.
I have got to go now.	Je dois partir maintenant.
I have lost my watch.	J'ai perdu ma montre.
I have lost my watch.	J’ai perdu ma montre.
I have lots of ideas.	J'ai plein d'idées.
I have lots of money.	Je dispose de beaucoup d'argent.
I have lunch at noon.	Je déjeune à midi.
I have misjudged you.	Je vous ai méjugé.
I have misjudged you.	Je t'ai méjugé.
I have misjudged you.	Je vous ai méjugée.
I have misjudged you.	Je t'ai méjugée.
I have my own theory.	J'ai ma propre théorie.
I have no experience.	Je n'ai pas d'expérience.
I have no experience.	Je suis dépourvu d'expérience.
I have no experience.	Je suis dépourvue d'expérience.
I have no more ideas.	Je suis à court d'idées.
I have no statistics.	Je ne dispose pas de statistiques.
I have no use for it.	Je n'en ai pas l'usage.
I have poor eyesight.	J'ai une mauvaise vue.
I have read the book.	J'ai lu le livre.
I have seen it a lot.	Je l'ai beaucoup vu.
I have so many ideas.	J'ai tellement d'idées !
I have so many ideas.	J'ai tant d'idées !
I have such bad luck.	J'ai une telle poisse !
I have thirteen cats.	J'ai treize chats.
I have three cameras.	J'ai trois appareils photo.
I have three choices.	J'ai trois choix.
I have three choices.	J'ai trois possibilités.
I have three cousins.	J'ai trois cousins.
I have three sisters.	J'ai trois sœurs.
I have three tickets.	J'ai trois billets.
I have to be careful.	Il me fait être prudent.
I have to do my best.	Je dois faire de mon mieux.
I have to do my hair.	Il faut que je me coiffe.
I have to go to work.	Je dois aller au travail.
I have to see it all.	Il me faut le voir en entier.
I have to wear boots.	Il faut que je porte des bottes.
I have two daughters.	J'ai deux filles.
I haven't had dinner.	Je n'ai pas dîné.
I hear Tom hates you.	On m'a dit que Tom te détestait.
I heard an explosion.	J'ai entendu une détonation.
I heard the question.	J'ai entendu la question.
I heard you did well.	J'ai entendu dire que vous vous en étiez bien tiré.
I heard you did well.	J'ai entendu dire que tu t'en étais bien tiré.
I hit on a good idea.	Il m'est venu une bonne idée.
I hope it's not true.	J'espère que ce n'est pas vrai.
I hope that's a joke.	J'espère que c'est une blague.
I hope you're hungry.	J'espère que tu as faim.
I hope you're hungry.	J'espère que vous avez faim.
I hugged her tightly.	Je l'ai étroitement enlacée.
I just bought a boat.	Je viens d'acheter un bateau.
I just can't help it.	Je ne peux simplement m'en empêcher.
I just can't help it.	Je ne peux simplement pas m'en empêcher.
I just can't take it.	Je ne peux simplement pas le prendre.
I just can't take it.	Je ne peux simplement pas encaisser ça.
I just cracked a rib.	Je viens de me fêler une côte.
I just cut my finger.	Je viens de me couper le doigt.
I just don't like it.	Je n'aime pas ça, un point c'est tout.
I just don't like it.	Je ne l'aime pas, un point c'est tout.
I just need a minute.	J'ai juste besoin d'une minute.
I just need a moment.	J'ai juste besoin d'un moment.
I just need a moment.	Il me faut juste un moment.
I just took a shower.	Je viens de prendre une douche.
I just took a shower.	J'ai simplement pris une douche.
I just want you back.	Je veux simplement que tu me reviennes.
I just want you back.	Je veux simplement que tu reviennes avec moi.
I keep thirteen cats.	J'ai treize chats.
I kept an eye on Tom.	J'ai gardé un œil sur Tom.
I kept my mouth shut.	J'ai tenu ma langue.
I kept my mouth shut.	Je tins ma langue.
I kept my mouth shut.	Je n'ai pas dit mot.
I kept my mouth shut.	Je ne dis pas mot.
I kind of liked them.	Je les aimais bien.
I knew I could do it.	Je savais que je pouvais le faire.
I knew I could do it.	Je savais pouvoir le faire.
I knew I'd be blamed.	Je savais qu'on me le reprocherait.
I knew Tom would win.	Je savais que Tom gagnerait.
I knew it was a joke.	Je savais que c'était une blague.
I knew we'd find you.	Je savais que nous vous trouverions.
I knew we'd find you.	Je savais que nous te trouverions.
I knew you'd be here.	Je savais que tu serais ici.
I knew you'd be here.	Je savais que vous seriez là.
I knew you'd like it.	Je savais que vous l'aimeriez.
I knew you'd like it.	Je savais que tu l'aimerais.
I know I can do that.	Je sais pouvoir le faire.
I know Tom can't win.	Je sais que Tom ne peut pas gagner.
I know Tom is a liar.	Je sais que Tom est un menteur.
I know Tom is active.	Je sais que Tom est actif.
I know Tom is boring.	Je sais que Tom est ennuyeux.
I know Tom is boring.	Je sais que Tom est barbant.
I know Tom is boring.	Je sais que Tom est rasant.
I know Tom is chubby.	Je sais que Tom est grassouillet.
I know Tom is groggy.	Je sais que Tom a la tête dans le cirage.
I know Tom is groggy.	Je sais que Tom est embrumé.
I know Tom is groggy.	Je sais que Tom est sonné.
I know Tom very well.	Je connais très bien Tom.
I know Tom was angry.	Je sais que Tom était en colère.
I know Tom was early.	Je sais que Tom était en avance.
I know Tom was early.	Je sais que Tom était arrivé tôt.
I know Tom was first.	Je sais que Tom était le premier.
I know Tom was right.	Je sais que Tom avait raison.
I know all about you.	Je sais tout de toi.
I know all about you.	Je sais tout de vous.
I know all about you.	Je sais tout à ton sujet.
I know all about you.	Je sais tout à votre sujet.
I know her very well.	Je la connais très bien.
I know him very well.	Je le connais très bien.
I know him very well.	Je le connais fort bien.
I know it's my fault.	Je sais que c'est de ma faute.
I know it's not easy.	Je sais que ce n'est pas facile.
I know it's not fair.	Je sais que ce n'est pas juste.
I know it's not true.	Je sais que ce n'est pas vrai.
I know lots of songs.	Je connais de nombreuses chansons.
I know sign language.	Je connais la langue des signes.
I know that you know.	Je sais que tu sais.
I know that you know.	Je sais que vous savez.
I know the gentleman.	Je connais ce gentleman.
I know this district.	Je connais ce quartier.
I know what happened.	Je sais ce qui s'est passé.
I know what they are.	Je sais ce qu'ils sont.
I know what they are.	Je sais ce qu'elles sont.
I know what to study.	Je sais quoi étudier.
I know what you know.	Je sais ce que tu sais.
I know what you mean.	Je sais ce que tu veux dire.
I know what you mean.	Je sais ce que vous voulez dire.
I know who said that.	Je sais qui a dit ça.
I know why he did it.	Je sais pourquoi il a fait ça.
I know you know this.	Je sais que tu sais cela.
I know you're scared.	Je sais que vous avez peur.
I know you're scared.	Je sais que tu as peur.
I know your roommate.	Je connais ton compagnon de chambre.
I know your roommate.	Je connais votre compagnon de chambre.
I know your roommate.	Je connais ton compagnon de chambrée.
I know your roommate.	Je connais ta camarade de chambre.
I know your roommate.	Je connais votre camarade de chambre.
I leave it up to you.	Je te laisse en décider.
I leave it up to you.	Je vous laisse en décider.
I leave it up to you.	Je laisse cela à tes soins.
I leave it up to you.	Je laisse cela à vos soins.
I leave this evening.	Je pars ce soir.
I left the door open.	J'ai laissé la porte ouverte.
I left you a message.	Je vous ai laissé un message.
I left you a message.	Je t'ai laissé un message.
I lent Tom my camera.	J'ai prêté mon appareil photo à Tom.
I let go of the rope.	J'ai lâché la corde.
I let go of the rope.	Je lâchai la corde.
I lied to my parents.	J'ai menti à mes parents.
I lied to the police.	J'ai menti à la police.
I like Japanese food.	J'aime la cuisine japonaise.
I like canned fruits.	J'aime les fruits en conserve.
I like coffee better.	J'aime mieux le café.
I like coffee better.	Je préfère le café.
I like country music.	J'aime la musique country.
I like her dark eyes.	J'aime ses yeux foncés.
I like her very much.	Je l'aime beaucoup.
I like her very much.	Je l'apprécie beaucoup.
I like him very much.	Je l'aime beaucoup.
I like painting, too.	J'aime peindre aussi.
I like reading books.	J'aime lire des livres.
I like that necklace.	J'aime ce collier.
I like the diversity.	J'aime la diversité.
I like to eat apples.	J'aime manger des pommes.
I like to play poker.	J'aime jouer au poker.
I like to read books.	J'aime lire des livres.
I like to sing songs.	J'aime chanter des chansons.
I like trout fishing.	J'aime la pêche à la truite.
I like you very much.	Je t'aime beaucoup.
I like your attitude.	J'apprécie ton attitude.
I like your attitude.	J'apprécie votre attitude.
I like your earrings.	J'aime tes boucles d'oreilles.
I like your necklace.	J'aime votre collier.
I like your necklace.	J'aime ton collier.
I like your painting.	J'apprécie ton tableau.
I like your painting.	J'apprécie votre tableau.
I like your painting.	J'aime ton tableau.
I like your painting.	J'aime votre tableau.
I liked your comment.	J'ai aimé ton commentaire.
I liked your comment.	J'ai aimé votre commentaire.
I liked your dancing.	J'ai apprécié votre danse.
I liked your dancing.	J'ai apprécié ta danse.
I liked your friends.	J'ai apprécié tes amis.
I liked your friends.	J'ai apprécié tes amies.
I liked your friends.	J'appréciai tes amis.
I liked your friends.	J'ai apprécié vos amis.
I liked your friends.	J'ai apprécié vos amies.
I liked your friends.	J'appréciai tes amies.
I liked your friends.	J'appréciai vos amis.
I liked your friends.	J'appréciai vos amies.
I live a simple life.	Je mène une vie simple.
I live in Kazakhstan.	J'habite au Kazakhstan.
I live in a big city.	J'habite dans une grande ville.
I live in this hotel.	J'habite dans cet hôtel.
I live next to a dam.	Je vis à côté d'un barrage.
I live with my uncle.	J'habite avec mon oncle.
I look forward to it.	J'attends cela avec impatience.
I look forward to it.	Je m'en réjouis d'avance.
I looked at my watch.	J'ai regardé ma montre.
I looked for the key.	Je cherchais la clef.
I lost my flashlight.	J'ai perdu ma lampe-torche.
I lost my house keys.	J'ai perdu les clés de chez moi.
I lost my sunglasses.	J'ai égaré mes lunettes de soleil.
I lost that argument.	J'ai perdu cette joute verbale.
I lost that argument.	Je perdis cette joute verbale.
I lost track of time.	J'ai perdu la notion du temps.
I love American food.	J'aime la nourriture américaine.
I love French movies.	J'adore les films français.
I love beach parties.	J'adore les fêtes sur la plage.
I love fried bananas.	J'adore les bananes frites.
I love playing chess.	J'adore jouer aux échecs.
I love reading books.	J'adore lire des livres.
I love teaching kids.	J'adore enseigner aux enfants.
I love the food here.	J'adore la nourriture, ici.
I love your daughter.	J'adore votre fille.
I love your daughter.	J'aime votre fille.
I love your daughter.	J'adore ta fille.
I made a bad mistake.	J'ai fait une grave erreur.
I made a big mistake.	J'ai commis une grosse erreur.
I made a big mistake.	Je commis une grosse erreur.
I made a few changes.	J'ai effectué quelques modifications.
I made a lucky guess.	J'ai hasardé une heureuse hypothèse.
I made a model plane.	Je fabriquais une maquette d'avion.
I made a paper plane.	Je fis un avion de papier.
I made a paper plane.	J'ai fait un avion de papier.
I made a paper plane.	J'ai fait un avion en papier.
I made that decision.	J'ai pris cette décision.
I major in economics.	Je suis spécialisé en Sciences Économiques.
I make a good living.	Je gagne bien ma vie.
I married a Canadian.	J'ai épousé un canadien.
I married a Canadian.	J'ai épousé une canadienne.
I may as well go now.	Je ferais bien d'y aller maintenant.
I mean no disrespect.	Je ne veux pas manquer de respect.
I mean no disrespect.	Je ne veux pas te manquer de respect.
I meant it as a joke.	C'était censé être une blague.
I meant it as a joke.	Ça se voulait une blague.
I memorized the poem.	J'ai mémorisé le poème.
I memorized the poem.	J'ai mémorisé la poésie.
I met Mary yesterday.	J'ai rencontré Mary hier.
I met Mary yesterday.	Hier, j'ai rencontré Marie.
I met Tom in October.	J'ai rencontré Tom en octobre.
I met a friend there.	J'ai rencontré un ami là-bas.
I met a friend there.	J'ai rencontré une amie là-bas.
I met him about noon.	Je l'ai rencontré vers midi.
I met him in January.	Je l'ai rencontré en janvier.
I met him in January.	Je le rencontrai en janvier.
I met them last week.	Je les ai rencontrés la semaine dernière.
I might vote for you.	Il se peut que je vote pour vous.
I might vote for you.	Il se pourrait que je vote pour toi.
I miss you very much.	Tu me manques beaucoup.
I missed you so much.	Tu m'as tellement manqué !
I missed you so much.	Vous m'avez tellement manqué !
I must be going deaf.	Je dois devenir sourd.
I must be going deaf.	Je dois devenir sourde.
I must buy some milk.	Je dois acheter du lait.
I must give Tom that.	Je dois le donner à Tom.
I must talk with you.	Je dois parler avec toi.
I must work tomorrow.	Je dois travailler demain.
I nearly blacked out.	J'ai presque perdu la mémoire.
I need Tom's address.	Il me faut l'adresse de Tom.
I need a clean shirt.	J'ai besoin d'une chemise propre.
I need a drink first.	Il me faut d'abord un verre.
I need a fresh start.	J'ai besoin de recommencer à neuf.
I need a good lawyer.	J'ai besoin d'une bonne avocate.
I need a good lawyer.	Il me faut un bon avocat.
I need a larger room.	J'ai besoin d'une plus grande chambre.
I need a little time.	J'ai besoin d'un peu de temps.
I need a lot of them.	Il m'en faut beaucoup.
I need a new bicycle.	J'ai besoin d'un nouveau vélo.
I need a new bicycle.	Il me faut un nouveau vélo.
I need another drink.	Il me faut un autre verre.
I need another drink.	J'ai besoin d'un autre verre.
I need it right away.	J'en ai besoin tout de suite.
I need more blankets.	J'ai besoin de plus de couvertures.
I need to buy cheese.	J'ai besoin d'acheter du fromage.
I need to go to work.	Je dois aller au travail.
I need to study math.	J'ai besoin d'étudier les maths.
I need you right now.	J'ai immédiatement besoin de toi.
I need you right now.	J'ai immédiatement besoin de vous.
I need you right now.	J'ai besoin de toi sur-le-champ.
I need you right now.	J'ai besoin de vous sur-le-champ.
I needed to meet you.	J'avais besoin de te rencontrer.
I needed to meet you.	J'avais besoin de vous rencontrer.
I never asked for it.	Je ne l'ai jamais requis.
I never asked for it.	Je ne l'ai jamais demandé.
I never did it again.	Je ne l'ai jamais refait.
I never drink coffee.	Je ne bois jamais de café.
I never had a chance.	Je n'ai jamais eu une chance.
I never liked school.	Je n'ai jamais aimé l'école.
I never saw his face.	Je n’ai jamais vu son visage.
I no longer like you.	Je ne t'aime plus.
I no longer love him.	Je ne l'aime plus.
I no longer love you.	Je ne t'aime plus.
I no longer love you.	Je ne vous aime plus.
I now agree with Tom.	Je suis maintenant d'accord avec Tom.
I only need a minute.	Je n'ai besoin que d'une minute.
I only need a minute.	Il ne me faut qu'une minute.
I ordered fries, too.	J'ai également commandé des frites.
I owe a lot of money.	Je dois beaucoup d'argent.
I owe him 50,000 yen.	Je lui dois 50,000 yens.
I owe him some money.	Je lui dois un peu d'argent.
I owe him some money.	Je lui dois quelque argent.
I paid $200 in taxes.	J'ai payé deux cents dollars d'impôts.
I paid $200 in taxes.	J'ai payé deux cents dollars en impôts.
I parked around back.	J'ai fait le tour pour me garer derrière.
I plan to do it soon.	Je projette de le faire bientôt.
I pleaded not guilty.	J'ai plaidé non coupable.
I prefer it that way.	Je le préfère ainsi.
I prefer it that way.	Je le préfère comme ça.
I prefer it that way.	Je le préfère de cette façon.
I prefer it this way.	Je le préfère ainsi.
I prefer it this way.	Je le préfère de cette manière.
I prefer to be alone.	Je préfère être seul.
I prefer to be alone.	Je préfère être seule.
I prefer to go alone.	Je préfère y aller seul.
I prefer to go alone.	Je préfère y aller seule.
I prefer to go alone.	Je préfère m'y rendre seul.
I prefer to go alone.	Je préfère m'y rendre seule.
I pumped up the tire.	J'ai regonflé le pneu.
I put on my trousers.	Je mets mon pantalon.
I put on my trousers.	Je mis mon pantalon.
I put on my trousers.	Je passai mon pantalon.
I put on my trousers.	Je passe mon pantalon.
I ran into my friend.	J'ai percuté mon ami.
I ran like lightning.	J'ai couru à la vitesse de l'éclair.
I really didn't care.	Je ne m'en souciais vraiment pas.
I really like garlic.	J'aime vraiment l'ail.
I really like garlic.	J'aime beaucoup l'ail.
I really love my job.	J'aime vraiment mon travail.
I really ought to go.	Il me faut vraiment y aller.
I really ought to go.	Il me faut vraiment m'en aller.
I really want a beer.	Je veux vraiment une bière.
I really wasn't sure.	Je n'en étais pas vraiment sûr.
I really wasn't sure.	Je n'en étais pas vraiment sûre.
I received your note.	J'ai reçu votre note.
I received your note.	J'ai reçu ta note.
I rechecked the data.	J'ai à nouveau vérifié les données.
I rechecked the data.	J'ai de nouveau vérifié les données.
I refuse to allow it.	Je refuse de le permettre.
I refused to be paid.	J'ai refusé d'être payé.
I regret going there.	Je regrette d'y être allé.
I regret kissing you.	Je regrette de t'avoir embrassée.
I regret kissing you.	Je regrette de t'avoir embrassé.
I regret saying that.	Je regrette avoir dit ça.
I regret saying that.	Je regrette avoir dit cela.
I regret that I lied.	Je regrette d'avoir menti.
I regret what I said.	Je regrette ce que j'ai dis.
I rejected the offer.	J'ai rejeté l'offre.
I rejected the offer.	J'ai rejeté la proposition.
I remember something.	Je me souviens de quelque chose.
I remember this poem.	Je me souviens de ce poème.
I remember this word.	Je me souviens de ce mot.
I remember this word.	Je me souviens de cette parole.
I said don't do that.	J'ai dit de ne pas le faire.
I said it might rain.	J'ai dit qu'il pourrait pleuvoir.
I said that ages ago.	J'ai dit ça il y a des siècles.
I saw an opportunity.	J'ai vu une opportunité.
I saw how Tom did it.	J'ai vu comment Tom a fait.
I saw nothing at all.	Je n'ai rien vu du tout.
I saw you doing that.	Je t'ai vu le faire.
I saw you doing that.	Je vous ai vu faire cela.
I saw you snickering.	Je t'ai vu pouffer.
I saw you snickering.	Je t'ai vue pouffer.
I saw you snickering.	Je vous ai vu pouffer.
I saw you snickering.	Je vous ai vue pouffer.
I saw you snickering.	Je vous ai vues pouffer.
I saw you snickering.	Je vous ai vus pouffer.
I see no alternative.	Je ne vois pas d'alternative.
I seldom eat at home.	Je mange rarement chez moi.
I seldom eat dessert.	Je mange rarement du dessert.
I sense a plot afoot.	Je sens qu'un complot se met en place.
I sent you an e-mail.	Je t'ai envoyé un courrier électronique.
I share your opinion.	Je partage ton avis.
I should go with you.	Je devrais aller avec vous.
I should go with you.	Je devrais aller avec toi.
I should take a look.	Je devrais y jeter un œil.
I should've told Tom.	J'aurais dû le dire à Tom.
I should've told you.	J'aurais dû te le dire.
I should've told you.	J'aurais dû vous le dire.
I shouldn't complain.	Je ne devrais pas me plaindre.
I showed her my room.	Je lui ai montré ma chambre.
I showed him my room.	Je lui ai montré ma chambre.
I showed him the way.	Je lui indiquai le chemin.
I showed him the way.	Je lui ai indiqué le chemin.
I shower every night.	Je me douche chaque soir.
I sincerely hope not.	Je ne l'espère sincèrement pas.
I solved the problem.	J'ai résolu le problème.
I sometimes watch TV.	Je regarde parfois la télévision.
I sort of understand.	Je comprends à peu près.
I started this topic.	J'ai ouvert ce sujet.
I stepped in the mud.	J'ai marché dans la boue.
I still don't get it.	Je ne capte toujours pas.
I still don't get it.	Je ne saisis toujours pas.
I studied last night.	J'ai étudié hier soir.
I suddenly feel sick.	Je me sens tout à coup malade.
I swallowed my pride.	J'ai ravalé ma fierté.
I swim in the summer.	En été, je nage.
I take dance lessons.	Je prends des leçons de danse.
I talked about music.	J'ai parlé de musique.
I talked about music.	J'ai parlé musique.
I tell you the truth.	Je te dis la vérité.
I thank you for that.	Je vous en remercie.
I think I need to go.	Je pense que je dois y aller.
I think I understand.	Je pense comprendre.
I think I understood.	Je pense que j’ai compris.
I think I'll do that.	Je pense que je ferai ça.
I think Tom can help.	Je pense que Tom peut vous aider.
I think Tom can help.	Je pense que Tom peut nous aider.
I think Tom can help.	Je pense que Tom peut m'aider.
I think Tom can help.	Je pense que Tom peut t'aider.
I think Tom did that.	Je pense que c'est Tom qui l'a fait.
I think Tom did this.	Je pense que c'est Tom le responsable.
I think Tom did this.	Je pense que Tom a fait ceci.
I think Tom did well.	Je pense que Tom a bien fait.
I think Tom has gone.	Je pense que Tom a disparu.
I think Tom has left.	Je pense que Tom est parti.
I think Tom hates me.	Je crois que Tom me déteste.
I think Tom is awake.	Je pense que Tom est réveillé.
I think Tom is drunk.	Je pense que Tom est bourré.
I think Tom is drunk.	Je pense que Tom est saoul.
I think Tom is drunk.	Je crois que Tom est ivre.
I think Tom is loyal.	Je pense que Tom est loyal.
I think Tom is loyal.	Je pense que Tom est fidèle.
I think Tom is lying.	Je pense que Tom ment.
I think Tom is ready.	Je pense que Tom est prêt.
I think Tom is right.	Je pense que Tom a raison.
I think Tom is weird.	Je pense que Tom est bizarre.
I think Tom is wrong.	Je pense que Tom a tort.
I think Tom liked it.	Je pense que Tom a aimé.
I think Tom needs me.	Je pense que Tom a besoin de moi.
I think Tom will win.	Je pense que Tom gagnera.
I think he likes you.	Je pense qu'il t'apprécie.
I think he likes you.	Je pense qu'il vous apprécie.
I think he was angry.	Je pense qu'il était en colère.
I think it is a gift.	Je pense que c'est un présent.
I think it's awesome.	Je pense que c'est génial.
I think it's obvious.	Je pense que c'est évident.
I think it's perfect.	Je pense que c'est parfait.
I think it's perfect.	Je pense qu'il est parfait.
I think it's perfect.	Je pense qu'elle est parfaite.
I think my mom knows.	Je pense que ma maman le sait.
I think that was Tom.	Je pense que c'était Tom.
I think that's awful.	Je pense que c'est affreux.
I think they know me.	Je pense qu'ils me connaissent.
I think they know us.	Je pense qu'ils nous connaissent.
I think they like me.	Je crois qu'ils m'aiment.
I think they like me.	Je pense qu'ils m'apprécient.
I think they like me.	Je pense qu'elles m'apprécient.
I think they like us.	Je crois qu'ils nous aiment.
I think they like us.	Je crois qu'ils nous apprécient.
I think they like us.	Je crois qu'elles nous apprécient.
I think they saw you.	Je pense qu'ils t'ont aperçu.
I think they saw you.	Je pense qu'ils vous ont aperçu.
I think this is mine.	Je pense que c'est le mien.
I think this is mine.	Je pense que c'est la mienne.
I think this will do.	Je pense que cela va faire l'affaire.
I think this'll work.	Je pense que ceci fonctionnera.
I think we can do it.	Je pense que nous pouvons le faire.
I think we should go.	Je pense que nous devrions y aller.
I think we should go.	Je pense que nous devrions nous en aller.
I think you heard me.	Je crois que vous m'avez bien entendu.
I think you look hot.	Je pense que tu as l'air excitant.
I think you look hot.	Je pense que tu as l'air excitante.
I think you look hot.	Je pense que vous avez l'air excitant.
I think you look hot.	Je pense que vous avez l'air excitante.
I think you look hot.	Je pense que vous avez l'air excitants.
I think you look hot.	Je pense que vous avez l'air excitantes.
I think you look hot.	Je pense que vous avez l'air d'avoir chaud.
I think you look hot.	Je pense que tu as l'air d'avoir chaud.
I think you panicked.	Je pense que vous vous êtes paniqué.
I think you panicked.	Je pense que vous vous êtes paniqués.
I think you panicked.	Je pense que vous vous êtes paniquées.
I think you panicked.	Je pense que vous vous êtes paniquée.
I think you panicked.	Je pense que tu t'es paniqué.
I think you panicked.	Je pense que tu t'es paniquée.
I think you're drunk.	Je pense que tu es ivre.
I think you're drunk.	Je pense que vous êtes ivre.
I think you're drunk.	Je pense que vous êtes ivres.
I think you're funny.	Je pense que vous êtes drôle.
I think you're funny.	Je pense que vous êtes marrant.
I think you're funny.	Je pense que tu es drôle.
I think you're funny.	Je pense que tu es marrant.
I think you're funny.	Je pense que tu es marrante.
I think you're funny.	Je pense que vous êtes marrante.
I think you're funny.	Je pense que vous êtes marrants.
I think you're funny.	Je pense que vous êtes marrantes.
I think you're lying.	Je pense que tu mens.
I think you're lying.	Je pense que vous mentez.
I think you're ready.	Je pense que tu es prêt.
I think you're ready.	Je pense que tu es prête.
I think you're ready.	Je pense que vous êtes prêt.
I think you're ready.	Je pense que vous êtes prête.
I think you're ready.	Je pense que vous êtes prêts.
I think you're ready.	Je pense que vous êtes prêtes.
I think you're right.	Je crois que tu as raison.
I think you're right.	Je crois que vous avez raison.
I think you're right.	Je pense que vous avez raison.
I think you're right.	Je pense que tu as raison.
I think you're wrong.	Je pense que tu te trompes.
I think you're wrong.	Je pense que tu as tort.
I think you're wrong.	Je pense que vous avez tort.
I thought I knew you.	Je pensais te connaître.
I thought I knew you.	Je pensais vous connaître.
I thought I was cool.	J'ai pensé que c'était peinard.
I thought I was cool.	Je pensais que c'était sympa.
I thought about that.	J'y ai pensé.
I thought about that.	J'ai pensé à cela.
I thought it was Tom.	Je pensais que c'était Tom.
I thought you'd left.	Je pensais que tu étais parti.
I thought you'd left.	Je pensais que tu étais partie.
I thought you'd left.	Je pensais que vous étiez parti.
I thought you'd left.	Je pensais que vous étiez partie.
I thought you'd left.	Je pensais que vous étiez partis.
I thought you'd left.	Je pensais que vous étiez parties.
I told you the truth.	Je vous ai dit la vérité.
I told you the truth.	Je t'ai dit la vérité.
I took the wrong bus.	J'ai pris le mauvais bus.
I totally understand.	Je comprends complètement.
I touched the bottom.	J'ai touché le fond.
I traveled by myself.	Je voyageai seul.
I traveled by myself.	J'ai voyagé seul.
I tried not to stare.	J'ai essayé de ne pas regarder avec insistance.
I tried not to worry.	J'ai essayé de ne pas m'inquiéter.
I tried on the shoes.	J'ai essayé les chaussures.
I tried to kiss Mary.	J'ai essayé d'embrasser Mary.
I tried to kiss Mary.	J'essayai d'embrasser Mary.
I trusted my teacher.	J'ai fait confiance à ma professeure.
I trusted my teacher.	J'ai fait confiance à mon professeur.
I trusted my teacher.	J'ai fait confiance à mon maître.
I trusted my teacher.	J'ai fait confiance à ma maîtresse.
I turned off the tap.	J'ai fermé le robinet.
I turned on the lamp.	J'ai allumé la lampe.
I underestimated you.	Je t'ai sous-estimé.
I underestimated you.	Je t'ai sous-estimée.
I used to drink beer.	J'avais pour habitude de boire de la bière.
I used to have a dog.	J'avais un chien.
I waited three hours.	J'ai attendu trois heures.
I want a closer look.	Je veux regarder de plus près.
I want a new kitchen.	Je veux une nouvelle cuisine.
I want an MP3 player!	Je veux un lecteur MP3 !
I want my money back.	Je veux récupérer mon argent.
I want some of those.	Je veux quelques-uns de ceux-ci.
I want some of those.	Je veux quelques-unes de celles-ci.
I want some potatoes.	J'aimerais quelques pommes de terre.
I want the other one.	Je veux l'autre.
I want them all shot.	Je veux qu'ils soient tous fusillés.
I want them all shot.	Je veux qu'elles soient toutes fusillées.
I want them all shot.	Je veux qu'ils soient tous flingués.
I want them all shot.	Je veux qu'elles soient toutes flinguées.
I want them all shot.	Je veux qu'elles soient toutes descendues.
I want them all shot.	Je veux qu'ils soient tous descendus.
I want to be a nurse.	Je veux être infirmière.
I want to be at home.	Je veux être chez moi.
I want to be at home.	Je veux être à la maison.
I want to be careful.	Je veux être prudente.
I want to be careful.	Je veux être prudent.
I want to be invited.	Je veux être invitée.
I want to be invited.	Je veux être invité.
I want to be noticed.	Je veux être remarquée.
I want to be noticed.	Je veux être remarqué.
I want to buy a book.	Je veux acheter un livre.
I want to drink milk.	Je veux boire du lait.
I want to go fishing.	Je veux aller pêcher.
I want to go to Mars.	Je veux me rendre sur Mars.
I want to go to town.	Je veux aller en ville.
I want to play cards.	Je veux jouer aux cartes.
I want to please you.	Je veux te faire plaisir.
I want to please you.	Je veux vous plaire.
I want to please you.	Je veux te plaire.
I want to please you.	Je veux vous faire plaisir.
I want to rent a car.	Je veux louer une voiture.
I want to rent a car.	Je voudrais louer une voiture.
I want to see Boston.	Je veux voir Boston.
